SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Tue Feb 21 11:38:50 GMT 2017
User: student10
Dark Spectrum Present: Yes
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: MAYP112424
Integration Time (usec): 100000 (MAYP112424)
Spectra Averaged: 1 (MAYP112424)
Boxcar Smoothing: 0 (MAYP112424)
Correct for Electrical Dark: No (MAYP112424)
Strobe/Lamp Enabled: No (MAYP112424)
Correct for Detector Non-linearity: No (MAYP112424)
Correct for Stray Light: No (MAYP112424)
Number of Pixels in Processed Spectrum: 2068
>>>>>Begin Processed Spectral Data<<<<<
200.29	5.00
200.76	0.00
201.22	6.00
201.69	1.00
202.15	-4.00
202.62	5.00
203.08	2.00
203.55	-11.00
204.01	-8.00
204.48	9.00
204.94	20.00
205.41	4.00
205.87	9.00
206.34	16.00
206.80	5.00
207.27	-6.00
207.73	-8.00
208.20	-7.00
208.66	1.00
209.12	11.00
209.59	-3.00
210.05	13.00
210.52	10.00
210.98	10.00
211.45	-4.00
211.91	-1.00
212.38	12.00
212.84	1.00
213.31	-1.00
213.77	-29.00
214.23	-13.00
214.70	-15.00
215.16	9.00
215.63	-9.00
216.09	2.00
216.56	-14.00
217.02	-14.00
217.49	13.00
217.95	17.00
218.41	1.00
218.88	2.00
219.34	-3.00
219.81	5.00
220.27	-12.00
220.74	3.00
221.20	3.00
221.66	-15.00
222.13	5.00
222.59	-17.00
223.06	22.00
223.52	-1.00
223.98	2.00
224.45	1.00
224.91	-2.00
225.38	12.00
225.84	-10.00
226.30	2.00
226.77	2.00
227.23	0.00
227.70	2.00
228.16	1.00
228.62	11.00
229.09	5.00
229.55	0.00
230.02	22.00
230.48	24.00
230.94	2.00
231.41	29.00
231.87	17.00
232.33	12.00
232.80	11.00
233.26	16.00
233.73	22.00
234.19	-19.00
234.65	15.00
235.12	17.00
235.58	-2.00
236.04	13.00
236.51	-3.00
236.97	-5.00
237.44	-11.00
237.90	1.00
238.36	24.00
238.83	-7.00
239.29	-8.00
239.75	2.00
240.22	-13.00
240.68	-7.00
241.14	6.00
241.61	7.00
242.07	-20.00
242.53	6.00
243.00	10.00
243.46	5.00
243.92	1.00
244.39	10.00
244.85	-4.00
245.31	-5.00
245.78	4.00
246.24	7.00
246.70	1.00
247.17	11.00
247.63	-9.00
248.09	6.00
248.56	-2.00
249.02	-5.00
249.48	-21.00
249.94	7.00
250.41	-8.00
250.87	2.00
251.33	6.00
251.80	8.00
252.26	23.00
252.72	-12.00
253.19	16.00
253.65	24.00
254.11	12.00
254.57	-13.00
255.04	-4.00
255.50	4.00
255.96	-16.00
256.43	-11.00
256.89	-5.00
257.35	-11.00
257.81	1.00
258.28	-1.00
258.74	5.00
259.20	15.00
259.66	8.00
260.13	29.00
260.59	-5.00
261.05	-2.00
261.52	-1.00
261.98	-7.00
262.44	13.00
262.90	3.00
263.37	6.00
263.83	-3.00
264.29	-17.00
264.75	-9.00
265.22	-5.00
265.68	-22.00
266.14	4.00
266.60	8.00
267.07	-16.00
267.53	-9.00
267.99	10.00
268.45	2.00
268.91	11.00
269.38	-4.00
269.84	9.00
270.30	-1.00
270.76	11.00
271.23	3.00
271.69	-1.00
272.15	3.00
272.61	1.00
273.07	15.00
273.54	1.00
274.00	2.00
274.46	-16.00
274.92	8.00
275.38	2.00
275.85	-1.00
276.31	-3.00
276.77	-6.00
277.23	-10.00
277.69	6.00
278.16	-6.00
278.62	-12.00
279.08	6.00
279.54	0.00
280.00	-15.00
280.47	1.00
280.93	0.00
281.39	7.00
281.85	0.00
282.31	8.00
282.77	-12.00
283.24	-4.00
283.70	-2.00
284.16	-3.00
284.62	-16.00
285.08	-15.00
285.55	3.00
286.01	7.00
286.47	-17.00
286.93	-1.00
287.39	2.00
287.85	0.00
288.31	9.00
288.78	2.00
289.24	14.00
289.70	9.00
290.16	-15.00
290.62	26.00
291.08	11.00
291.54	8.00
292.01	18.00
292.47	-6.00
292.93	-20.00
293.39	-22.00
293.85	-6.00
294.31	22.00
294.77	-11.00
295.23	-9.00
295.70	-2.00
296.16	16.00
296.62	21.00
297.08	5.00
297.54	4.00
298.00	-12.00
298.46	9.00
298.92	7.00
299.39	1.00
299.85	9.00
300.31	5.00
300.77	4.00
301.23	14.00
301.69	-7.00
302.15	15.00
302.61	12.00
303.07	12.00
303.53	-18.00
303.99	-22.00
304.46	6.00
304.92	2.00
305.38	-11.00
305.84	12.00
306.30	10.00
306.76	-10.00
307.22	-3.00
307.68	9.00
308.14	-10.00
308.60	12.00
309.06	-1.00
309.52	10.00
309.98	20.00
310.44	-1.00
310.91	2.00
311.37	7.00
311.83	6.00
312.29	11.00
312.75	-12.00
313.21	27.00
313.67	1.00
314.13	-2.00
314.59	-2.00
315.05	32.00
315.51	21.00
315.97	-3.00
316.43	1.00
316.89	-11.00
317.35	-8.00
317.81	-3.00
318.27	-16.00
318.73	8.00
319.19	5.00
319.65	7.00
320.11	15.00
320.57	4.00
321.03	17.00
321.49	-14.00
321.95	-2.00
322.41	13.00
322.87	-8.00
323.33	11.00
323.79	-18.00
324.25	6.00
324.71	-1.00
325.17	12.00
325.63	-11.00
326.09	19.00
326.55	16.00
327.01	-20.00
327.47	19.00
327.93	0.00
328.39	1.00
328.85	-26.00
329.31	18.00
329.77	0.00
330.23	-10.00
330.69	8.00
331.15	5.00
331.61	4.00
332.07	-7.00
332.53	8.00
332.99	-4.00
333.45	11.00
333.91	-17.00
334.37	-16.00
334.83	-11.00
335.29	2.00
335.75	6.00
336.21	2.00
336.67	4.00
337.13	6.00
337.59	-19.00
338.04	17.00
338.50	4.00
338.96	-2.00
339.42	-3.00
339.88	8.00
340.34	8.00
340.80	5.00
341.26	1.00
341.72	5.00
342.18	11.00
342.64	-11.00
343.10	-2.00
343.56	5.00
344.02	-9.00
344.47	15.00
344.93	6.00
345.39	1.00
345.85	16.00
346.31	-2.00
346.77	4.00
347.23	7.00
347.69	16.00
348.15	4.00
348.61	-4.00
349.07	12.00
349.52	3.00
349.98	-2.00
350.44	6.00
350.90	20.00
351.36	12.00
351.82	1.00
352.28	2.00
352.74	18.00
353.19	-5.00
353.65	13.00
354.11	26.00
354.57	38.00
355.03	12.00
355.49	19.00
355.95	7.00
356.41	-1.00
356.86	37.00
357.32	12.00
357.78	4.00
358.24	17.00
358.70	3.00
359.16	25.00
359.62	10.00
360.07	29.00
360.53	27.00
360.99	24.00
361.45	27.00
361.91	38.00
362.37	11.00
362.82	22.00
363.28	6.00
363.74	24.00
364.20	31.00
364.66	30.00
365.12	21.00
365.57	32.00
366.03	27.00
366.49	11.00
366.95	31.00
367.41	33.00
367.86	29.00
368.32	33.00
368.78	19.00
369.24	21.00
369.70	29.00
370.15	30.00
370.61	33.00
371.07	10.00
371.53	30.00
371.99	36.00
372.44	38.00
372.90	28.00
373.36	22.00
373.82	14.00
374.28	38.00
374.73	36.00
375.19	36.00
375.65	15.00
376.11	46.00
376.56	32.00
377.02	30.00
377.48	45.00
377.94	23.00
378.40	44.00
378.85	53.00
379.31	12.00
379.77	31.00
380.23	32.00
380.68	7.00
381.14	43.00
381.60	32.00
382.06	30.00
382.51	14.00
382.97	21.00
383.43	48.00
383.89	32.00
384.34	35.00
384.80	29.00
385.26	27.00
385.72	18.00
386.17	20.00
386.63	45.00
387.09	33.00
387.54	46.00
388.00	40.00
388.46	30.00
388.92	30.00
389.37	34.00
389.83	36.00
390.29	39.00
390.74	30.00
391.20	35.00
391.66	41.00
392.12	43.00
392.57	40.00
393.03	34.00
393.49	65.00
393.94	39.00
394.40	55.00
394.86	43.00
395.31	44.00
395.77	56.00
396.23	33.00
396.68	30.00
397.14	58.00
397.60	42.00
398.06	14.00
398.51	32.00
398.97	52.00
399.43	43.00
399.88	75.00
400.34	70.00
400.80	81.00
401.25	61.00
401.71	104.00
402.17	79.00
402.62	106.00
403.08	88.00
403.53	107.00
403.99	91.00
404.45	100.00
404.90	95.00
405.36	108.00
405.82	75.00
406.27	91.00
406.73	86.00
407.19	92.00
407.64	105.00
408.10	69.00
408.55	97.00
409.01	88.00
409.47	90.00
409.92	84.00
410.38	123.00
410.84	115.00
411.29	90.00
411.75	100.00
412.20	105.00
412.66	117.00
413.12	108.00
413.57	79.00
414.03	109.00
414.48	93.00
414.94	103.00
415.40	83.00
415.85	107.00
416.31	106.00
416.76	77.00
417.22	92.00
417.68	99.00
418.13	95.00
418.59	92.00
419.04	118.00
419.50	79.00
419.96	92.00
420.41	115.00
420.87	99.00
421.32	103.00
421.78	107.00
422.23	90.00
422.69	104.00
423.14	98.00
423.60	119.00
424.06	115.00
424.51	118.00
424.97	99.00
425.42	73.00
425.88	123.00
426.33	113.00
426.79	106.00
427.24	91.00
427.70	114.00
428.16	99.00
428.61	121.00
429.07	100.00
429.52	76.00
429.98	86.00
430.43	107.00
430.89	119.00
431.34	96.00
431.80	105.00
432.25	115.00
432.71	97.00
433.16	130.00
433.62	117.00
434.07	87.00
434.53	148.00
434.98	132.00
435.44	135.00
435.89	184.00
436.35	150.00
436.80	204.00
437.26	170.00
437.71	151.00
438.17	144.00
438.62	158.00
439.08	115.00
439.53	70.00
439.99	142.00
440.44	120.00
440.90	90.00
441.35	112.00
441.81	129.00
442.26	131.00
442.72	113.00
443.17	150.00
443.63	134.00
444.08	115.00
444.53	147.00
444.99	139.00
445.44	128.00
445.90	114.00
446.35	137.00
446.81	110.00
447.26	95.00
447.72	156.00
448.17	155.00
448.63	126.00
449.08	146.00
449.53	166.00
449.99	165.00
450.44	139.00
450.90	157.00
451.35	138.00
451.81	137.00
452.26	183.00
452.71	134.00
453.17	166.00
453.62	154.00
454.08	148.00
454.53	136.00
454.98	140.00
455.44	151.00
455.89	154.00
456.35	174.00
456.80	179.00
457.25	126.00
457.71	153.00
458.16	142.00
458.62	131.00
459.07	169.00
459.52	167.00
459.98	156.00
460.43	156.00
460.89	184.00
461.34	153.00
461.79	156.00
462.25	179.00
462.70	128.00
463.16	156.00
463.61	138.00
464.06	176.00
464.52	170.00
464.97	146.00
465.42	156.00
465.88	144.00
466.33	176.00
466.78	165.00
467.24	171.00
467.69	123.00
468.14	126.00
468.60	141.00
469.05	160.00
469.50	152.00
469.96	146.00
470.41	156.00
470.86	119.00
471.32	154.00
471.77	166.00
472.22	128.00
472.68	176.00
473.13	147.00
473.58	156.00
474.04	140.00
474.49	163.00
474.94	153.00
475.40	182.00
475.85	186.00
476.30	142.00
476.76	157.00
477.21	191.00
477.66	156.00
478.12	155.00
478.57	165.00
479.02	207.00
479.47	185.00
479.93	158.00
480.38	164.00
480.83	192.00
481.29	174.00
481.74	152.00
482.19	181.00
482.64	168.00
483.10	181.00
483.55	141.00
484.00	174.00
484.46	177.00
484.91	154.00
485.36	164.00
485.81	210.00
